scene,psnr,ssim,lpips
45a00d135c5388fc_00012,39.9599,0.9791,0.102
eae986c8f31081cc_00051,38.2926,0.9686,0.0999
c1ad4232258e87c9_00014,37.5801,0.9757,0.1229
e9670b30a2c0e348_00001,37.4269,0.9697,0.0652
fbcd62ab8ff30b4f_00013,37.3996,0.9501,0.1304
3a3bc11b9ebb7d44_00017,37.0911,0.9839,0.0757
dff51d96b59df454_00031,37.0033,0.9781,0.0844
59636f39d067119d_00000,36.7759,0.9719,0.0703
fa1f48f6ab912eab_00000,36.493,0.9717,0.0871
4a763e1b87e495a7_00024,36.4909,0.9627,0.0671
189f95593df3c7f1_00004,36.2026,0.9751,0.1021
bb4d7012261ee0ed_00000,36.0529,0.9705,0.0811
b352534bdedb50b3_00005,36.0069,0.973,0.0726
ee9503a872caad73_00006,35.7996,0.9716,0.0772
6b4a5186c2585e08_00032,35.7572,0.9588,0.0952
2c9018ef57c6b061_00019,35.7165,0.9524,0.1129
6558c5f10d45a929_00043,35.586,0.9608,0.1078
357ddf77c7b83cae_00004,35.3178,0.9647,0.1128
0f2197967bb7fa43_00022,35.2035,0.9662,0.1004
cdf439b17a6a98d4_00031,35.1818,0.9619,0.0936
7323eacf27a3f67b_00179,35.1758,0.9517,0.1132
54841308aff91857_00027,35.13,0.957,0.1012
090c672e7e394397_00067,35.1269,0.9658,0.1485
4091c41c6909da3b_00060,35.1176,0.958,0.0966
bac90b67024759ee_00020,35.098,0.9629,0.0787
3d2486ac8822da47_00034,35.0395,0.9674,0.0719
a017b558fa544b08_00000,34.973,0.9645,0.1307
f3ef8cde65afcc5e_00003,34.9432,0.9535,0.1038
f543c249c809b271_00002,34.9237,0.9691,0.0987
e16d5c92b54beff5_00032,34.8713,0.9509,0.0928
427c035484d45682_00010,34.8491,0.969,0.1138
e050b07b90580dba_00025,34.8222,0.9673,0.1087
d25404ee1e0c0607_00000,34.779,0.9755,0.1042
46e0654ccb5d88cf_00002,34.6511,0.9655,0.099
531e3acf16289429_00003,34.5834,0.9483,0.0908
f58edeb874d96974_00002,34.559,0.9642,0.1269
9d0939c256269554_00036,34.5567,0.9683,0.1176
ba0cecbd7351eea2_00026,34.4253,0.9525,0.0924
0d4de33c6888a754_00002,34.4196,0.9468,0.0994
f23ea66496d4592c_00011,34.3852,0.9411,0.1229
5a27f8e07fcdff76_00000,34.3712,0.9527,0.1319
568ef8c24a0b1408_00008,34.3683,0.9691,0.1488
1bf49251fdd23cc0_00003,34.2455,0.9729,0.1026
b7ae0d63cd88cb7e_00005,34.2291,0.9662,0.1186
58adecc8e2e6ae8e_00013,34.205,0.9646,0.0949
9a1b51f094189756_00029,34.2017,0.9553,0.1004
73c5bc59df929e8d_00016,34.1927,0.9578,0.1408
374fa34fe701a30d_00002,34.1681,0.9653,0.072
57d3409bf04c4651_00000,34.0959,0.9641,0.1235
e49065bc8c694f0d_00011,34.0956,0.9545,0.127
54fe098cef530a7f_00024,34.0929,0.9618,0.1071
aa91dfdd5f4ad32b_00008,34.0642,0.964,0.0736
4e0e71a0930d359d_00000,34.0307,0.9673,0.0876
4c4fa41951e37e78_00008,34.0135,0.9743,0.105
1a8466443ffdc6c5_00007,34.0007,0.9511,0.1216
11eb02d24a3241a9_00002,33.9422,0.9612,0.0906
650503eb1bc58d0d_00008,33.9267,0.9407,0.1155
bb6fa5bdafc14e8c_00043,33.9164,0.9658,0.0654
895c7a42a71d6050_00027,33.8743,0.9603,0.0978
10c8e54590f715f7_00006,33.8393,0.9525,0.1112
fa5ef1d3968d1b8e_00012,33.8304,0.9515,0.0951
0c4c5d5f751aabf5_00012,33.779,0.9566,0.094
91ccaa13b322fb9d_00000,33.7647,0.9623,0.1101
074653ff3928b9fe_00017,33.6682,0.9569,0.0855
9490f1219dbbb6ce_00017,33.6577,0.9657,0.1107
6fe141ec9be1a432_00012,33.6198,0.9602,0.1226
a3bc75f0a32b1501_00018,33.6191,0.9533,0.0887
043c48135c5e8cc2_00079,33.6174,0.9685,0.1232
96a7bdbfc462408d_00192,33.5552,0.948,0.0948
e4f4574df7938f37_00000,33.5531,0.9648,0.1231
3176f1532a468cbd_00008,33.5513,0.9666,0.0884
3d8d29bf0d9f24a4_00181,33.5437,0.9529,0.0863
ed477bdf8582adff_00040,33.5237,0.9444,0.1266
a47b88040452d7d9_00035,33.5228,0.9531,0.1108
e9b6564434ba856f_00002,33.4046,0.9423,0.0923
37d0f351f07ee925_00060,33.3743,0.9574,0.1174
ae5c26bc7fe988ea_00012,33.3675,0.9302,0.071
f7d916b43193c181_00007,33.307,0.9447,0.0917
1227d00562c106e2_00116,33.2861,0.9445,0.0816
ee135ea99ddcb32e_00058,33.2451,0.9398,0.1072
e4bcb18fa6aa91be_00032,33.2021,0.9538,0.1386
75d475e9558ab806_00001,33.1836,0.9332,0.0877
8d671600d1ff117c_00056,33.174,0.9513,0.1187
0626b812d67da3c6_00003,33.0822,0.9632,0.1077
9638776e5bc87bc7_00009,33.0577,0.9524,0.0897
d5a254717822d28b_00158,32.9806,0.9428,0.102
9b432f66b54dcee7_00005,32.9406,0.9382,0.0964
701ee1118e22239d_00003,32.913,0.9629,0.1637
a942b6e69847940b_00002,32.892,0.9136,0.1279
62e7d55109468b27_00009,32.8837,0.9771,0.114
8debcd56accec5c3_00008,32.8447,0.9538,0.1107
87f03b8928fc286e_00039,32.8351,0.9232,0.1095
16cd4f1cb2a467c1_00005,32.8331,0.9546,0.1099
fdaab1f49851782c_00031,32.7842,0.9544,0.1166
28e8300e004ab30b_00003,32.766,0.9461,0.1512
f7c0fa5b81552d35_00011,32.7129,0.9524,0.1112
41abd737e0228c1a_00081,32.6653,0.952,0.1013
59d248d6e5d5b35c_00015,32.6279,0.9559,0.1142
f27cb10112666229_00011,32.6145,0.9359,0.1202
3f4f553239e96d90_00020,32.5747,0.941,0.105
068140e09ae5ae8f_00032,32.561,0.9581,0.1006
cb6b6e325aaafcc9_00033,32.5313,0.9441,0.108
7f56a807c4e3fbcb_00012,32.4853,0.9498,0.0965
754f7a46cc9770c6_00003,32.461,0.948,0.0959
350ef3b7bd9d9489_00018,32.4305,0.9457,0.131
1bc87c160d1dc982_00012,32.4271,0.9549,0.0877
bc143130c1842e4b_00029,32.4246,0.944,0.1187
29e0bfbad00f0d5e_00008,32.4002,0.9435,0.1103
a348013b922a1d67_00006,32.3668,0.9244,0.1401
cb38d67088b66084_00049,32.3341,0.943,0.0842
41bcd011f99bfb66_00004,32.3136,0.9641,0.075
5331fddb30f9132e_00006,32.2639,0.9484,0.0978
8038a001feaffb7b_00003,32.2466,0.9636,0.114
9786c8d75194a1bf_00033,32.1846,0.9516,0.0996
e4512bdb2540e049_00101,32.1487,0.9517,0.1262
d7c79e9bf6b0e42e_00026,32.1433,0.9285,0.0974
518f26dcd055d78d_00002,32.0796,0.9384,0.0982
29a09527214b3dc5_00009,32.0508,0.9399,0.1128
50c3e2b700077e76_00060,32.0507,0.9414,0.1334
b11afd8c64079de8_00123,32.0195,0.9578,0.127
2bec33eeeab0bb9d_00005,31.9912,0.9573,0.0849
4047ea5cbe353c08_00016,31.9507,0.9377,0.082
ce51b0b5bcec88e7_00027,31.9212,0.9616,0.1105
e1654fcb98bf93e6_00006,31.9127,0.9423,0.0897
6fdd15be262854f1_00021,31.9031,0.9402,0.0877
bddba93182c33779_00019,31.902,0.9422,0.1271
3aaed2e6422d7d57_00137,31.8809,0.9525,0.1238
f956425e6e6f9863_00048,31.8318,0.9118,0.1625
4b85062505816744_00026,31.8003,0.9469,0.1192
d3a01038c5f21473_00139,31.7731,0.9513,0.1272
180542b70f713d5b_00015,31.7516,0.9554,0.1041
5f8e6b91cb78aa9f_00003,31.7145,0.9461,0.1297
d6cd62354e99289f_00041,31.7081,0.9597,0.1207
f60664acd06e22aa_00040,31.706,0.9544,0.135
