=== Evaluation Scores ===

Per-Scene Scores:
  5aca87f95a9412c6_00058: psnr=26.9749, ssim= 0.8985, lpips= 0.1172
  322261824c4a3003_00033: psnr=31.2225, ssim= 0.9324, lpips= 0.1164
  17d9303ee77c3a3d_00017: psnr=26.1228, ssim= 0.9112, lpips= 0.1405
  debc3490ba0bd84b_00034: psnr=31.3564, ssim= 0.9362, lpips= 0.0973
  e124dfa7e996a414_00048: psnr=25.4223, ssim= 0.8494, lpips= 0.1527
  aa91dfdd5f4ad32b_00008: psnr=33.4672, ssim= 0.9592, lpips= 0.0753
  e4bcb18fa6aa91be_00032: psnr=32.5271, ssim= 0.9511, lpips= 0.1408
  bc95e5c7e357f1b7_00035: psnr=29.5251, ssim= 0.9230, lpips= 0.1351
  f7c0fa5b81552d35_00011: psnr=30.1795, ssim= 0.9355, lpips= 0.1214
  7c7bc5285126e6ad_00064: psnr=28.1635, ssim= 0.9019, lpips= 0.1041
  e1afd89a69ee6947_00034: psnr=29.3855, ssim= 0.9306, lpips= 0.1473
  8b212f2755d955ec_00040: psnr=25.5983, ssim= 0.8517, lpips= 0.1868
  88d9ba3324f2ec21_00002: psnr=24.1926, ssim= 0.7317, lpips= 0.3119
  4c4fa41951e37e78_00008: psnr=34.1888, ssim= 0.9752, lpips= 0.1052
  34b0658a5c200cdf_00000: psnr=22.9154, ssim= 0.8709, lpips= 0.1467
  a56ba2efb5e3fdd9_00033: psnr=31.5801, ssim= 0.8889, lpips= 0.1211
  ffa95c3b40609c76_00120: psnr=22.5029, ssim= 0.6602, lpips= 0.2336
  cdf439b17a6a98d4_00031: psnr=35.1199, ssim= 0.9621, lpips= 0.0949
  79ce50fb7b021e1d_00212: psnr=25.5676, ssim= 0.8130, lpips= 0.1757
  de67e3a0b0648cfe_00016: psnr=19.1005, ssim= 0.7915, lpips= 0.2379
  622ef98e83ed5239_00003: psnr=26.3764, ssim= 0.8468, lpips= 0.1287
  252a24d25a1ea81d_00198: psnr=29.5668, ssim= 0.9341, lpips= 0.1427
  28e8300e004ab30b_00003: psnr=28.1614, ssim= 0.8731, lpips= 0.1984
  c48f19e2ffa52523_00195: psnr=28.8465, ssim= 0.8866, lpips= 0.1655
  a47b88040452d7d9_00035: psnr=33.7753, ssim= 0.9567, lpips= 0.1090
  cb38d67088b66084_00049: psnr=31.2834, ssim= 0.9348, lpips= 0.0866
  358bdee988c269ef_00003: psnr=26.9351, ssim= 0.9068, lpips= 0.1483
  54841308aff91857_00027: psnr=34.3221, ssim= 0.9528, lpips= 0.1023
  30fc5fc78c5a716e_00151: psnr=25.8485, ssim= 0.8712, lpips= 0.1554
  214df1c2863d2959_00045: psnr=29.1000, ssim= 0.8985, lpips= 0.1047
  6558c5f10d45a929_00043: psnr=35.6607, ssim= 0.9597, lpips= 0.1083
  1214f2a11a9fc1ed_00103: psnr=22.0242, ssim= 0.8708, lpips= 0.2022
  0d4de33c6888a754_00002: psnr=34.1445, ssim= 0.9460, lpips= 0.1001
  40ca76de44a6e1a9_00043: psnr=31.2165, ssim= 0.9088, lpips= 0.1069
  8b760ac05c93a6bb_00026: psnr=30.5670, ssim= 0.9187, lpips= 0.1462
