=== Evaluation Scores ===

Per-Scene Scores:
  5aca87f95a9412c6_00058: psnr=27.3453, ssim= 0.9071, lpips= 0.1147
  322261824c4a3003_00033: psnr=30.9450, ssim= 0.9309, lpips= 0.1170
  17d9303ee77c3a3d_00017: psnr=26.4875, ssim= 0.9150, lpips= 0.1371
  debc3490ba0bd84b_00034: psnr=31.2505, ssim= 0.9360, lpips= 0.0981
  e124dfa7e996a414_00048: psnr=28.1336, ssim= 0.9338, lpips= 0.1239
  aa91dfdd5f4ad32b_00008: psnr=34.0642, ssim= 0.9640, lpips= 0.0736
  e4bcb18fa6aa91be_00032: psnr=33.2021, ssim= 0.9538, lpips= 0.1386
  bc95e5c7e357f1b7_00035: psnr=31.3446, ssim= 0.9506, lpips= 0.1256
  f7c0fa5b81552d35_00011: psnr=32.7129, ssim= 0.9524, lpips= 0.1112
  7c7bc5285126e6ad_00064: psnr=28.5894, ssim= 0.9143, lpips= 0.1004
  e1afd89a69ee6947_00034: psnr=29.2851, ssim= 0.9318, lpips= 0.1466
  8b212f2755d955ec_00040: psnr=31.1105, ssim= 0.9367, lpips= 0.1546
  88d9ba3324f2ec21_00002: psnr=26.1130, ssim= 0.7887, lpips= 0.2762
  4c4fa41951e37e78_00008: psnr=34.0135, ssim= 0.9743, lpips= 0.1050
  34b0658a5c200cdf_00000: psnr=23.1688, ssim= 0.8811, lpips= 0.1443
  a56ba2efb5e3fdd9_00033: psnr=31.6541, ssim= 0.8900, lpips= 0.1207
  ffa95c3b40609c76_00120: psnr=25.3350, ssim= 0.7936, lpips= 0.1919
  cdf439b17a6a98d4_00031: psnr=35.1818, ssim= 0.9619, lpips= 0.0936
  79ce50fb7b021e1d_00212: psnr=28.2044, ssim= 0.8781, lpips= 0.1573
  de67e3a0b0648cfe_00016: psnr=21.8454, ssim= 0.8994, lpips= 0.1707
  622ef98e83ed5239_00003: psnr=30.8114, ssim= 0.9287, lpips= 0.0959
  252a24d25a1ea81d_00198: psnr=30.1366, ssim= 0.9383, lpips= 0.1408
  28e8300e004ab30b_00003: psnr=32.7660, ssim= 0.9461, lpips= 0.1512
  c48f19e2ffa52523_00195: psnr=29.3329, ssim= 0.8992, lpips= 0.1622
  a47b88040452d7d9_00035: psnr=33.5228, ssim= 0.9531, lpips= 0.1108
  cb38d67088b66084_00049: psnr=32.3341, ssim= 0.9430, lpips= 0.0842
  358bdee988c269ef_00003: psnr=26.6330, ssim= 0.9051, lpips= 0.1489
  54841308aff91857_00027: psnr=35.1300, ssim= 0.9570, lpips= 0.1012
  30fc5fc78c5a716e_00151: psnr=25.8881, ssim= 0.8740, lpips= 0.1553
  214df1c2863d2959_00045: psnr=28.8994, ssim= 0.8970, lpips= 0.1047
  6558c5f10d45a929_00043: psnr=35.5860, ssim= 0.9608, lpips= 0.1078
  1214f2a11a9fc1ed_00103: psnr=24.1800, ssim= 0.9212, lpips= 0.1663
  0d4de33c6888a754_00002: psnr=34.4196, ssim= 0.9468, lpips= 0.0994
  40ca76de44a6e1a9_00043: psnr=31.0032, ssim= 0.9058, lpips= 0.1073
  8b760ac05c93a6bb_00026: psnr=30.9501, ssim= 0.9343, lpips= 0.1383
  bfd27ad72975e120_00008: psnr=23.4086, ssim= 0.6982, lpips= 0.2313
  89ea49cd9865aeff_00031: psnr=28.5735, ssim= 0.9297, lpips= 0.1348
  a9b3ff60b213e099_00032: psnr=16.0442, ssim= 0.7716, lpips= 0.2742
  41bcd011f99bfb66_00004: psnr=32.3136, ssim= 0.9641, lpips= 0.0750
  2da2eeb966bc0ef8_00030: psnr=28.3027, ssim= 0.8399, lpips= 0.1875
  f14791aec34dbdcd_00005: psnr=28.9989, ssim= 0.8927, lpips= 0.1331
  800ea72b6988f63e_00141: psnr=25.0974, ssim= 0.8529, lpips= 0.1418
  572acd18419c3456_00003: psnr=26.6835, ssim= 0.9032, lpips= 0.1360
  ed477bdf8582adff_00040: psnr=33.5237, ssim= 0.9444, lpips= 0.1266
  a6fa92e8204f6118_00002: psnr=31.6176, ssim= 0.9540, lpips= 0.1430
  bb4d7012261ee0ed_00000: psnr=36.0529, ssim= 0.9705, lpips= 0.0811
  0c52996355b23d76_00051: psnr=25.4753, ssim= 0.8150, lpips= 0.1561
  bc143130c1842e4b_00029: psnr=32.4246, ssim= 0.9440, lpips= 0.1187
