=== Evaluation Scores ===

Per-Scene Scores:
  5aca87f95a9412c6_00058: psnr=30.1665, ssim= 0.9549, lpips= 0.0546
  322261824c4a3003_00033: psnr=35.8919, ssim= 0.9737, lpips= 0.0504
  17d9303ee77c3a3d_00017: psnr=25.7855, ssim= 0.9018, lpips= 0.0927
  debc3490ba0bd84b_00034: psnr=34.6491, ssim= 0.9532, lpips= 0.0414
  e124dfa7e996a414_00048: psnr=31.5228, ssim= 0.9657, lpips= 0.0589
  aa91dfdd5f4ad32b_00008: psnr=36.9206, ssim= 0.9821, lpips= 0.0261
  e4bcb18fa6aa91be_00032: psnr=35.4313, ssim= 0.9654, lpips= 0.0743
  bc95e5c7e357f1b7_00035: psnr=35.3923, ssim= 0.9735, lpips= 0.0579
  f7c0fa5b81552d35_00011: psnr=35.5052, ssim= 0.9645, lpips= 0.0487
  7c7bc5285126e6ad_00064: psnr=36.6463, ssim= 0.9869, lpips= 0.0268
  e1afd89a69ee6947_00034: psnr=33.8265, ssim= 0.9655, lpips= 0.0769
  8b212f2755d955ec_00040: psnr=31.7140, ssim= 0.9504, lpips= 0.0825
  88d9ba3324f2ec21_00002: psnr=23.3090, ssim= 0.8085, lpips= 0.2072
  4c4fa41951e37e78_00008: psnr=34.0273, ssim= 0.9749, lpips= 0.0642
  34b0658a5c200cdf_00000: psnr=25.2383, ssim= 0.9233, lpips= 0.0681
  a56ba2efb5e3fdd9_00033: psnr=36.1840, ssim= 0.9707, lpips= 0.0358
  ffa95c3b40609c76_00120: psnr=30.6891, ssim= 0.9037, lpips= 0.0842
  cdf439b17a6a98d4_00031: psnr=43.0605, ssim= 0.9869, lpips= 0.0270
  79ce50fb7b021e1d_00212: psnr=31.7820, ssim= 0.9236, lpips= 0.0847
  de67e3a0b0648cfe_00016: psnr=23.9618, ssim= 0.9139, lpips= 0.1130
  622ef98e83ed5239_00003: psnr=33.5862, ssim= 0.9664, lpips= 0.0377
  252a24d25a1ea81d_00198: psnr=32.4510, ssim= 0.9548, lpips= 0.0703
  28e8300e004ab30b_00003: psnr=32.2699, ssim= 0.9558, lpips= 0.0780
